Attendance,Assignment_Completion,Quiz_Average,Previous_Marks,Study_Hours,Risk_Level
68.2,44.6,48.6,42.3,6.6,High Risk
72.3,91.1,62.2,83.9,11.6,Low Risk
71.2,52.4,70.6,49.8,6.7,High Risk
72.9,69.4,82.3,91.8,9.9,Medium Risk
40.0,40.8,40.0,30.0,3.3,High Risk
74.6,65.1,45.6,63.2,4.2,High Risk
46.0,50.0,43.1,52.0,5.1,High Risk
68.0,62.1,59.0,57.9,10.4,Medium Risk
77.6,70.2,70.1,52.8,16.6,Medium Risk
68.5,76.0,70.0,55.3,7.3,Medium Risk
80.7,65.7,60.7,70.9,11.5,Medium Risk
67.6,62.3,57.7,66.5,18.9,Medium Risk
58.8,69.6,90.5,42.8,20.9,Medium Risk
50.7,77.1,64.5,65.5,11.9,Medium Risk
86.9,61.5,70.2,82.5,17.9,High Risk
84.8,85.4,85.4,71.3,12.3,Medium Risk
63.3,57.3,65.2,86.5,17.8,Medium Risk
73.3,77.2,62.7,71.0,15.2,Medium Risk
70.9,69.7,85.1,66.5,16.7,Medium Risk
97.2,77.6,80.1,100.0,20.6,Low Risk
58.4,73.0,77.7,87.1,11.9,Medium Risk
62.0,61.2,60.1,81.6,12.1,Medium Risk
54.9,35.6,53.4,60.1,10.2,High Risk
64.5,63.8,56.4,56.5,9.8,High Risk
61.9,67.1,55.1,56.6,4.5,High Risk
58.2,73.1,43.9,40.1,3.2,High Risk
67.5,72.9,75.5,74.9,19.1,Medium Risk
77.9,75.5,74.7,66.6,24.6,Medium Risk
65.4,85.4,53.7,73.4,15.0,Medium Risk
51.0,77.0,53.7,53.5,3.9,High Risk
76.1,96.0,99.0,89.8,14.4,Low Risk
76.6,70.7,99.9,82.9,18.7,Low Risk
59.3,69.8,74.1,32.5,17.6,Medium Risk
64.3,65.0,43.3,59.9,4.9,High Risk
86.2,58.3,82.7,85.4,15.2,Low Risk
60.3,78.0,81.2,77.1,14.7,Medium Risk
52.0,73.3,53.5,43.3,9.2,High Risk
69.1,76.0,76.3,85.9,11.3,Low Risk
78.7,90.1,76.6,76.9,8.1,Low Risk
59.3,58.5,52.7,58.5,11.0,High Risk
61.6,72.0,63.7,83.7,18.4,Medium Risk
40.3,52.4,30.0,48.3,5.4,High Risk
91.0,81.1,93.5,81.8,21.3,Low Risk
98.7,78.1,90.2,63.4,17.3,Medium Risk
48.5,80.1,70.7,59.5,8.4,High Risk
80.2,90.5,57.8,83.5,18.9,Low Risk
49.0,30.0,37.2,30.0,2.5,High Risk
54.4,63.3,74.2,58.2,9.2,High Risk
72.8,64.6,64.2,65.6,17.5,Medium Risk
50.7,57.7,50.1,64.9,3.4,High Risk
80.9,85.8,83.1,77.9,14.4,Low Risk
85.4,100.0,100.0,100.0,23.6,Low Risk
40.0,53.3,36.9,54.6,4.9,High Risk
68.8,72.9,57.0,71.3,11.9,Medium Risk
66.4,76.9,62.2,54.2,13.4,High Risk
90.5,100.0,87.2,91.3,17.1,Low Risk
42.4,42.5,47.8,57.6,7.2,High Risk
62.8,97.5,88.2,90.2,14.9,Low Risk
95.9,100.0,100.0,100.0,25.8,Low Risk
42.3,53.1,46.9,37.7,6.3,High Risk
57.5,33.1,43.0,55.6,8.4,High Risk
70.1,54.6,91.1,71.4,12.2,Medium Risk
67.6,75.8,54.5,56.2,9.6,High Risk
85.5,85.3,74.1,86.4,14.2,Low Risk
89.6,52.6,50.6,86.1,15.4,Medium Risk
40.0,54.8,56.4,59.6,2.8,High Risk
78.7,71.7,87.9,85.9,22.3,Low Risk
74.1,76.9,87.8,59.7,15.5,Medium Risk
100.0,88.2,71.7,90.1,21.9,Low Risk
50.4,62.8,75.5,64.5,11.4,Medium Risk
60.3,73.4,58.7,56.9,9.5,Medium Risk
91.8,68.2,86.3,80.3,10.7,Medium Risk
87.3,70.5,60.4,70.3,15.9,Medium Risk
80.0,74.6,92.8,90.9,15.6,Low Risk
46.4,53.8,50.5,30.0,5.5,High Risk
76.1,63.4,76.1,73.4,17.6,Medium Risk
60.1,36.1,59.2,52.5,11.5,High Risk
73.0,82.6,62.6,94.9,11.4,Medium Risk
51.7,42.0,38.3,40.1,3.1,High Risk
79.0,72.4,69.6,69.3,21.0,Low Risk
54.6,37.5,32.9,49.2,12.1,High Risk
58.8,43.3,57.8,65.4,5.0,High Risk
100.0,80.6,93.7,50.2,16.1,Low Risk
59.4,83.9,63.5,62.1,13.8,Medium Risk
66.3,52.3,62.4,88.6,10.1,Medium Risk
85.5,100.0,88.0,100.0,22.1,Low Risk
71.0,55.9,64.9,49.3,20.9,Medium Risk
72.9,63.0,61.0,69.1,13.9,High Risk
82.6,90.9,61.7,74.3,17.0,Low Risk
73.9,63.0,70.7,67.8,3.2,Medium Risk
80.3,71.0,74.8,97.2,13.4,Medium Risk
74.7,60.3,83.7,64.2,15.2,Medium Risk
45.1,78.7,62.0,56.1,12.6,Medium Risk
100.0,100.0,78.7,100.0,2.3,Low Risk
60.8,45.4,66.1,43.6,10.5,High Risk
47.9,33.3,37.0,30.0,8.6,High Risk
83.6,95.2,100.0,77.0,13.1,Low Risk
100.0,97.4,100.0,95.1,30.0,Low Risk
67.6,63.3,53.7,52.2,2.0,High Risk
44.7,41.0,35.5,30.0,7.1,High Risk
70.2,77.9,61.0,67.2,11.4,Medium Risk
77.8,79.0,47.9,50.9,2.2,High Risk
53.5,63.5,61.8,31.2,13.8,High Risk
65.2,50.9,66.2,38.6,12.0,High Risk
80.2,86.0,80.1,73.7,17.4,Low Risk
77.5,71.4,60.2,71.3,18.0,Low Risk
40.0,54.1,30.0,60.3,3.9,High Risk
86.3,79.5,99.2,74.1,9.1,Low Risk
79.0,90.1,99.8,100.0,26.0,Low Risk
80.2,62.1,63.0,71.7,20.9,Medium Risk
53.8,80.9,59.3,62.8,15.8,High Risk
70.5,66.1,48.0,57.4,4.3,High Risk
79.5,97.3,94.9,78.8,10.0,Low Risk
58.3,38.4,35.6,31.2,2.0,High Risk
72.7,75.7,87.0,73.7,7.5,Medium Risk
60.3,90.5,62.4,59.8,11.2,High Risk
93.3,86.1,100.0,90.0,23.8,Low Risk
81.0,46.5,68.3,76.9,6.4,Medium Risk
100.0,100.0,100.0,100.0,24.4,Low Risk
53.1,44.3,59.0,45.3,9.9,High Risk
78.1,78.6,84.9,80.6,13.7,Low Risk
62.4,68.3,77.3,73.5,13.9,Low Risk
63.3,59.9,51.3,44.7,2.0,High Risk
58.6,62.2,93.8,72.8,12.6,Medium Risk
95.7,86.2,76.5,82.8,19.1,Low Risk
68.6,70.1,62.9,53.1,12.1,High Risk
69.8,33.5,41.1,30.0,6.1,High Risk
61.9,62.0,72.5,64.8,13.9,Low Risk
58.4,52.6,48.4,59.9,7.4,High Risk
83.4,49.1,66.3,55.5,12.4,Medium Risk
81.6,64.1,64.7,95.3,16.6,Medium Risk
41.9,45.7,30.0,49.7,4.1,High Risk
51.4,41.4,42.3,55.9,6.2,High Risk
78.8,74.2,62.5,85.9,14.7,Low Risk
67.2,61.9,38.8,80.5,7.8,High Risk
40.0,30.0,30.0,30.0,2.3,High Risk
82.2,89.4,86.4,54.2,14.7,Medium Risk
61.4,89.9,78.7,68.7,15.9,Low Risk
63.2,54.2,63.4,63.0,9.5,High Risk
57.6,55.6,30.0,48.3,5.2,High Risk
81.7,79.9,65.0,86.2,15.9,Low Risk
62.4,79.3,97.3,89.5,12.7,Medium Risk
100.0,100.0,93.6,100.0,18.3,Low Risk
81.2,81.9,82.1,84.9,16.6,Low Risk
70.9,56.3,66.0,65.3,15.9,Medium Risk
67.1,72.5,66.3,54.1,15.6,Low Risk
69.9,95.8,73.5,100.0,15.0,Low Risk
71.5,76.9,84.7,80.7,23.7,Medium Risk
84.7,99.7,89.7,83.4,17.7,Low Risk
75.8,54.6,54.3,53.3,6.9,High Risk
60.1,47.1,48.4,54.5,6.8,High Risk
71.1,64.4,63.5,53.1,3.7,High Risk
78.2,62.5,66.1,68.3,23.1,Low Risk
95.2,89.8,97.1,78.0,26.0,Low Risk
64.3,77.3,92.2,59.1,13.1,Low Risk
73.9,42.6,77.4,55.3,7.3,Medium Risk
71.6,60.6,81.6,86.5,21.8,Low Risk
54.4,55.0,63.0,68.0,10.4,Medium Risk
72.9,83.6,60.0,88.1,16.7,Medium Risk
40.0,32.2,30.0,30.0,7.5,High Risk
49.2,73.0,70.2,53.6,11.5,High Risk
64.7,68.8,46.0,59.7,17.9,High Risk
40.0,40.6,30.0,37.4,2.4,High Risk
79.9,57.1,50.6,51.6,6.6,High Risk
43.5,60.6,40.6,65.3,6.0,High Risk
71.0,57.5,50.1,65.7,4.6,Medium Risk
77.4,96.1,85.2,96.6,17.5,Low Risk
64.1,54.1,53.4,59.4,16.4,Medium Risk
58.8,63.7,42.6,31.5,10.2,High Risk
50.3,82.2,57.7,71.0,12.8,Medium Risk
88.8,88.1,91.1,94.8,14.3,Low Risk
75.5,53.4,49.6,58.7,9.0,High Risk
55.2,60.7,51.3,58.2,12.5,High Risk
82.2,46.9,84.1,74.7,17.5,Medium Risk
78.1,70.0,62.8,56.4,12.6,Medium Risk
79.6,78.5,75.0,86.1,13.0,Low Risk
66.6,69.2,73.4,73.5,16.4,Low Risk
61.3,88.3,87.2,74.8,4.0,Medium Risk
63.3,53.7,49.7,63.6,9.4,High Risk
70.8,57.3,68.8,59.1,23.2,Medium Risk
59.9,65.3,55.2,59.0,5.9,High Risk
56.1,52.5,38.2,66.3,6.0,High Risk
44.9,47.8,52.2,52.0,5.2,High Risk
76.8,82.1,84.3,76.7,14.6,Low Risk
72.5,76.2,67.8,66.2,15.4,High Risk
45.6,42.7,55.0,53.3,9.8,High Risk
80.1,70.5,67.0,37.2,13.1,Medium Risk
75.2,100.0,94.4,78.2,21.8,Low Risk
40.0,30.0,42.7,30.0,2.0,High Risk
68.4,49.5,55.0,39.6,18.2,High Risk
69.2,49.7,52.0,56.0,9.0,High Risk
93.3,87.8,100.0,100.0,21.1,Low Risk
67.5,64.3,75.3,70.3,7.6,Medium Risk
78.0,79.6,87.9,70.4,14.7,Low Risk
56.7,73.2,53.1,53.2,11.9,Medium Risk
56.7,39.3,53.1,46.4,2.1,High Risk
77.5,63.9,66.3,74.9,6.6,Medium Risk
72.5,56.6,77.3,66.8,13.4,Medium Risk
77.8,97.2,100.0,100.0,21.2,Low Risk
56.4,62.1,60.5,41.2,12.2,High Risk
71.2,73.9,73.3,69.5,13.0,Medium Risk
82.4,67.9,65.2,71.6,6.4,Medium Risk
70.6,71.3,74.6,73.6,18.7,Low Risk
81.6,79.5,99.4,92.6,19.7,Low Risk
41.9,72.7,34.0,50.4,2.0,High Risk
41.5,51.6,30.0,30.3,6.3,High Risk
82.5,75.6,65.0,83.1,21.1,Medium Risk
100.0,94.9,77.9,88.0,23.5,Low Risk
62.3,45.5,31.2,50.5,10.2,High Risk
40.0,30.0,45.8,36.5,6.3,High Risk
79.4,82.7,100.0,68.6,15.6,Low Risk
78.1,96.7,78.5,87.6,21.1,Low Risk
92.0,100.0,76.8,100.0,14.7,Low Risk
82.1,72.6,87.1,64.2,9.6,Low Risk
62.4,62.6,53.3,51.1,8.2,High Risk
67.5,64.9,69.3,34.6,8.0,High Risk
65.2,74.5,64.8,78.7,14.6,Low Risk
62.2,61.2,55.6,66.7,12.8,High Risk
51.9,37.0,49.6,57.3,12.4,High Risk
95.6,100.0,100.0,88.1,27.8,Low Risk
100.0,100.0,93.8,100.0,18.4,Low Risk
93.6,73.9,80.2,81.6,19.6,Low Risk
74.5,63.2,50.9,55.2,5.0,High Risk
100.0,86.5,66.4,92.9,16.5,Low Risk
71.7,87.8,83.0,69.0,17.5,Low Risk
78.8,86.2,53.6,70.5,2.0,Low Risk
78.9,81.1,82.7,92.2,28.9,Low Risk
73.9,61.7,87.3,100.0,18.4,Low Risk
76.7,75.2,83.5,84.9,14.3,Low Risk
71.4,89.3,85.3,97.5,23.9,Low Risk
67.3,69.1,72.7,88.1,13.3,Medium Risk
45.7,35.6,53.5,42.7,4.6,High Risk
62.2,51.2,80.4,59.5,11.5,Medium Risk
71.8,80.9,64.5,71.2,16.8,Medium Risk
45.8,59.9,58.7,30.8,6.2,High Risk
100.0,100.0,100.0,100.0,22.1,Low Risk
92.1,100.0,90.4,100.0,26.5,Low Risk
91.7,96.7,73.6,63.0,22.1,Low Risk
63.9,71.1,77.1,69.6,14.1,Medium Risk
100.0,88.5,96.2,99.2,24.2,Low Risk
82.2,65.5,81.3,66.6,23.2,Medium Risk
77.5,100.0,60.0,80.3,15.3,Low Risk
44.6,59.7,39.6,41.1,8.0,High Risk
79.5,70.9,79.9,61.4,15.7,Medium Risk
62.8,76.0,68.1,69.2,18.5,Medium Risk
66.9,39.3,30.0,47.2,4.1,High Risk
78.6,85.8,71.7,64.3,11.6,Low Risk
71.7,61.5,44.5,81.1,6.5,Medium Risk
75.2,100.0,85.4,90.2,17.3,Low Risk
75.7,95.1,98.5,87.6,15.4,Low Risk
78.4,74.4,90.1,69.9,12.8,Medium Risk
86.4,74.8,57.4,56.1,21.3,Medium Risk
82.6,70.8,64.8,55.2,15.4,High Risk
54.8,66.3,65.3,65.7,8.3,High Risk
59.6,47.4,72.1,72.4,4.7,High Risk
79.0,62.8,59.7,72.8,17.7,Medium Risk
46.6,75.1,50.3,37.3,13.8,High Risk
54.4,50.1,66.6,30.0,6.9,High Risk
81.6,69.0,71.7,85.8,13.8,Low Risk
74.8,70.2,82.9,74.6,19.5,Medium Risk
40.0,55.3,30.0,51.2,2.0,High Risk
67.4,75.6,64.0,57.2,14.0,Low Risk
83.0,91.1,64.0,89.8,27.1,Low Risk
85.5,83.1,72.3,96.3,19.1,Low Risk
81.3,91.7,94.5,81.5,15.0,Medium Risk
68.6,63.5,68.0,65.0,14.8,Low Risk
59.8,54.5,50.7,54.9,6.9,High Risk
60.8,64.4,41.7,56.5,2.0,High Risk
74.1,84.8,70.9,74.7,17.5,Medium Risk
73.6,64.9,77.7,86.2,19.4,Low Risk
90.9,79.9,100.0,85.8,18.2,Low Risk
70.1,87.7,54.1,73.1,17.0,Medium Risk
74.4,87.0,55.9,88.5,8.5,Low Risk
54.6,30.3,50.0,41.2,6.2,High Risk
67.9,68.3,61.7,57.3,9.2,Medium Risk
83.7,58.1,76.3,72.0,10.0,Medium Risk
51.6,60.0,68.0,66.3,19.6,Medium Risk
46.1,57.3,55.1,54.9,12.0,High Risk
78.0,69.2,65.7,73.1,16.6,Medium Risk
64.9,56.6,57.0,60.0,14.0,High Risk
64.7,60.7,71.7,60.2,12.9,Medium Risk
72.2,68.8,64.2,48.4,12.9,Medium Risk
72.4,47.9,60.8,82.9,12.1,Medium Risk
83.8,82.2,74.1,71.5,13.1,Low Risk
80.2,82.4,91.1,80.0,16.1,Low Risk
53.7,62.2,46.2,34.5,8.7,High Risk
46.3,45.8,71.8,55.6,9.1,High Risk
99.1,94.9,100.0,86.0,14.9,Low Risk
66.7,60.0,48.6,65.4,7.8,Medium Risk
48.2,30.0,31.6,30.0,2.0,High Risk
40.0,42.2,34.3,45.7,2.0,High Risk
78.5,69.2,65.4,62.3,15.2,Low Risk
80.2,90.7,78.7,64.5,17.0,Medium Risk
84.4,89.4,68.9,64.3,22.5,Medium Risk
81.1,69.9,90.3,100.0,17.5,Low Risk
40.0,57.3,30.0,30.0,2.0,High Risk
84.3,65.9,62.7,61.3,10.5,Medium Risk
94.4,100.0,100.0,74.1,21.6,Low Risk
46.2,63.8,47.8,37.9,8.2,High Risk
70.4,53.4,52.6,53.6,7.9,High Risk
66.7,64.1,73.1,38.4,8.5,High Risk
60.3,55.4,57.1,45.7,2.0,High Risk
69.4,71.2,69.7,41.3,15.1,Medium Risk
89.7,93.9,89.2,82.1,17.1,Low Risk
100.0,100.0,93.6,100.0,22.0,Low Risk
59.2,65.8,60.6,67.7,5.6,High Risk
93.4,96.7,81.9,100.0,20.2,Low Risk
72.6,82.6,67.5,58.6,12.1,Medium Risk
100.0,100.0,99.6,81.9,21.7,Low Risk
57.2,76.7,88.7,54.9,14.5,Medium Risk
62.0,64.7,71.1,70.8,19.4,Medium Risk
58.8,64.0,45.8,84.8,17.8,Medium Risk
100.0,100.0,100.0,100.0,30.0,Low Risk
73.9,75.9,100.0,90.4,23.0,Medium Risk
58.6,68.0,67.1,48.9,11.7,High Risk
91.5,95.3,73.8,85.7,17.7,Low Risk
61.2,62.9,69.3,59.3,15.2,Medium Risk
67.2,78.4,51.3,58.5,14.8,Low Risk
82.0,98.7,66.3,100.0,20.1,Low Risk
78.5,73.1,64.3,50.1,7.3,High Risk
80.2,65.1,73.6,71.2,11.0,Medium Risk
66.0,87.5,45.8,82.6,12.0,Medium Risk
75.2,74.4,59.6,58.6,17.8,Medium Risk
87.3,77.8,74.9,69.1,15.0,Low Risk
48.4,37.2,32.1,30.3,7.9,High Risk
68.8,70.2,83.4,77.9,21.6,Low Risk
64.2,39.1,37.7,34.8,12.9,High Risk
42.0,55.3,53.5,51.0,10.6,High Risk
83.9,60.5,52.9,75.3,8.6,Low Risk
82.4,100.0,89.1,76.0,15.4,Low Risk
64.9,47.7,36.3,47.6,7.1,High Risk
85.0,68.6,68.2,84.1,10.6,Low Risk
51.3,55.5,51.5,36.3,5.1,High Risk
72.4,80.7,81.5,58.4,16.3,Medium Risk
60.5,61.9,62.4,82.7,11.9,High Risk
73.5,75.6,74.0,69.3,20.8,Low Risk
83.8,53.9,72.7,60.7,15.1,Medium Risk
52.8,47.4,39.6,53.8,17.8,Medium Risk
76.6,69.1,73.7,66.4,17.3,Medium Risk
62.1,50.1,54.5,56.9,13.4,High Risk
40.0,42.9,30.0,30.0,2.0,High Risk
40.0,30.0,41.5,30.8,7.6,High Risk
78.4,55.3,54.3,79.1,10.9,Medium Risk
85.2,60.8,68.3,71.6,9.3,Medium Risk
83.4,59.3,50.7,73.0,17.6,Medium Risk
57.0,73.9,71.1,56.4,17.5,Medium Risk
81.7,76.7,65.7,66.9,18.7,Medium Risk
98.1,94.0,100.0,88.1,16.3,Low Risk
52.3,61.6,54.1,43.2,7.2,High Risk
56.5,65.0,64.1,46.0,6.9,High Risk
40.0,53.6,41.4,55.3,10.7,High Risk
78.4,77.7,73.3,70.1,20.7,Low Risk
79.9,94.3,76.1,92.7,20.7,Low Risk
67.8,65.1,56.1,79.2,18.7,Medium Risk
40.0,30.0,30.0,30.0,4.1,High Risk
53.0,40.8,32.0,53.0,3.5,High Risk
69.6,48.5,40.1,61.0,12.1,High Risk
57.1,66.3,42.1,43.4,17.0,High Risk
56.1,62.8,33.4,49.9,19.0,High Risk
53.1,63.3,55.9,60.5,17.9,Medium Risk
65.2,58.0,70.5,54.3,11.5,High Risk
81.5,72.4,65.6,85.8,17.4,Medium Risk
48.6,70.6,40.8,64.3,11.9,High Risk
64.0,57.9,75.7,68.1,15.4,High Risk
74.7,67.7,68.0,80.5,17.1,Medium Risk
40.8,55.9,47.3,38.0,7.1,High Risk
72.5,69.7,81.9,52.7,15.2,High Risk
83.1,56.1,77.6,71.5,12.2,Low Risk
75.4,79.0,47.4,66.8,11.6,Medium Risk
93.1,87.9,90.6,98.0,21.5,Low Risk
68.9,56.2,38.6,81.6,16.8,High Risk
90.4,100.0,100.0,100.0,22.3,Low Risk
69.1,79.2,45.3,73.8,12.1,High Risk
55.4,51.1,35.0,36.7,3.2,High Risk
68.8,57.9,56.6,64.5,16.2,Medium Risk
60.9,59.8,32.8,49.7,13.1,Medium Risk
54.5,53.4,72.2,47.7,15.7,Medium Risk
82.1,96.7,100.0,81.3,15.8,Low Risk
84.7,78.3,71.2,82.4,18.1,Low Risk
40.0,36.1,42.2,46.5,9.3,High Risk
96.5,88.7,57.0,99.0,20.0,Low Risk
60.8,100.0,83.6,89.8,20.0,Low Risk
86.6,100.0,87.2,74.4,20.4,Low Risk
88.6,98.1,68.7,77.4,16.2,Low Risk
88.2,79.2,92.5,95.3,21.6,Low Risk
40.0,51.8,42.6,47.7,2.4,High Risk
57.7,57.3,66.8,59.9,10.4,Medium Risk
69.1,59.5,50.3,63.4,15.5,High Risk
56.4,57.8,56.7,73.1,24.4,Medium Risk
74.2,54.3,66.8,44.8,5.3,Medium Risk
69.2,60.1,65.5,50.6,7.1,High Risk
87.6,100.0,100.0,100.0,18.6,Low Risk
64.4,76.3,74.8,79.3,11.7,Medium Risk
68.6,79.3,57.6,79.6,18.7,Medium Risk
76.5,51.7,47.1,81.5,14.2,Medium Risk
79.7,67.7,60.1,81.9,14.1,Medium Risk
56.6,61.9,55.4,76.6,15.1,High Risk
74.6,86.3,84.2,66.6,12.5,Low Risk
80.5,100.0,90.9,100.0,17.9,Low Risk
100.0,100.0,100.0,100.0,21.2,Low Risk
64.2,66.3,77.7,70.0,8.2,Low Risk
94.7,48.7,79.9,71.7,11.3,Medium Risk
55.6,33.3,64.0,52.3,2.8,High Risk
60.3,84.3,72.2,49.1,15.6,Medium Risk
79.1,79.7,83.9,92.7,18.7,Low Risk
76.9,74.7,99.6,73.2,19.8,Low Risk
63.5,91.2,72.8,76.7,6.7,Medium Risk
85.3,97.2,78.5,78.3,11.5,Medium Risk
67.8,77.6,65.8,74.4,18.1,Medium Risk
69.2,84.8,95.6,81.1,7.9,Low Risk
72.6,72.9,87.5,72.1,19.3,Low Risk
50.8,67.2,61.7,83.7,3.9,Medium Risk
69.9,92.6,89.1,89.9,18.1,Low Risk
40.0,30.7,30.0,30.0,2.0,High Risk
69.5,83.7,73.5,75.2,19.1,Low Risk
40.0,30.0,30.0,30.0,7.6,High Risk
48.4,31.3,31.7,52.1,2.0,High Risk
80.5,85.1,100.0,67.6,18.0,Low Risk
62.7,73.9,74.8,76.3,8.2,Medium Risk
49.8,30.0,44.5,30.0,8.9,High Risk
64.0,35.9,56.9,69.2,8.6,High Risk
82.0,79.4,65.9,100.0,20.4,Low Risk
73.4,68.6,51.1,61.7,6.9,High Risk
92.6,100.0,100.0,83.8,27.3,Low Risk
69.4,72.0,60.4,75.7,7.2,Medium Risk
72.4,97.6,64.6,66.0,20.0,Medium Risk
96.1,80.3,100.0,89.2,19.4,Medium Risk
68.1,71.7,86.2,78.1,8.0,Low Risk
55.5,58.3,58.2,54.8,14.4,High Risk
68.3,60.3,60.8,61.8,12.2,Medium Risk
64.9,69.8,64.6,61.2,20.5,Low Risk
57.3,31.9,36.5,47.2,11.1,High Risk
70.6,81.7,52.0,60.1,8.5,Medium Risk
60.8,51.4,43.6,44.2,8.9,High Risk
81.1,100.0,75.4,81.1,18.1,Low Risk
79.7,70.2,56.1,73.3,19.3,Low Risk
65.9,77.1,44.7,62.2,13.3,Medium Risk
67.8,67.8,68.9,51.6,13.2,Medium Risk
76.1,73.0,74.4,83.7,13.3,Medium Risk
95.9,72.8,98.3,49.4,15.9,Medium Risk
45.9,56.3,44.0,47.1,13.2,High Risk
64.3,57.9,54.9,44.5,7.8,High Risk
70.4,77.9,89.4,89.4,16.9,Low Risk
68.2,62.4,58.4,68.2,8.7,Medium Risk
66.3,42.0,54.3,57.3,3.7,Medium Risk
82.6,100.0,84.4,68.7,9.6,Medium Risk
80.0,76.0,79.3,83.3,12.3,Low Risk
45.5,64.0,40.4,45.1,11.3,High Risk
75.5,71.3,67.4,54.1,13.3,Medium Risk
80.0,83.9,63.4,100.0,19.5,Low Risk
70.2,61.1,64.3,59.5,5.0,High Risk
78.2,74.6,70.6,84.4,18.4,Low Risk
54.1,51.3,32.0,49.4,5.3,High Risk
69.7,92.4,78.6,77.7,12.7,Low Risk
60.5,67.9,77.5,58.4,12.2,High Risk
53.0,78.0,49.4,69.9,8.6,High Risk
87.7,90.1,85.3,66.6,8.9,Medium Risk
97.6,100.0,79.3,93.4,24.1,Low Risk
99.2,96.3,93.1,93.3,22.9,Low Risk
99.1,100.0,80.8,83.9,18.3,Low Risk
71.3,63.0,73.5,71.9,8.6,Medium Risk
80.5,66.9,65.5,86.8,8.9,Low Risk
85.5,68.2,92.4,78.3,17.7,Low Risk
72.9,97.5,67.0,79.6,20.1,Medium Risk
69.1,81.0,62.3,71.8,14.5,Medium Risk
100.0,78.7,66.1,73.2,11.6,Low Risk
